	positive	neutral	negative	total
076780192X	190	1	79	270
0767821599	14	0	6	20
0782008380	29	0	11	40
0767726227	124	5	51	180
0780621832	9	0	1	10
0310263662	669	13	318	1000
0767809270	17	1	12	30
0307142469	39	0	11	50
0767851668	61	1	38	100
0767821556	21	0	9	30
0005019281	78	1	31	110
0767812778	8	0	2	10
0767849493	37	0	23	60
0767802624	15	0	5	20
0764006584	34	0	16	50
0767802470	208	3	79	290
0780619552	15	0	5	20
0767003357	30	1	19	50
0764003828	17	0	13	30
0307141985	7	0	3	10
0005119367	44	0	16	60
0764005693	64	1	25	90
0764001035	71	0	39	110
0767002652	208	6	86	300
0767817443	31	1	28	60
0783103107	7	0	3	10
0780619250	20	0	10	30
076780094X	44	1	15	60
078322544X	28	1	11	40
0307514161	63	2	35	100
0767801601	16	0	4	20
0780631234	7	0	3	10
0767026128	27	0	13	40
0764005553	34	0	16	50
0767087372	58	1	31	90
0767817656	12	0	8	20
0767827724	7	0	3	10
078062372X	6	0	4	10
0780020723	6	0	4	10
0767800311	13	0	7	20
0767832302	21	0	9	30
0780631153	53	0	27	80
0740318934	42	1	16	59
0738921475	32	1	7	40
0563412879	33	0	7	40
0767801962	65	3	22	90
0767736680	104	1	45	150
0767821955	17	0	3	20
0780022823	6	0	4	10
0767809262	14	1	5	20
0780656946	27	1	22	50
0780621964	37	0	23	60
0780614097	14	0	6	20
0780630858	39	0	21	60
0767818040	15	1	14	30
0738900370	7	0	3	10
0767010485	8	0	2	10
0783219695	7	0	3	10
0767812417	4	0	6	10
0767853636	34	0	16	50
076400557X	46	1	13	60
0767830520	14	2	4	18
0767800958	8	0	2	10
076780161X	76	0	34	110
0764002465	30	1	19	50
0767802683	27	0	13	40
0767014812	29	1	10	40
0780619951	28	0	12	40
0780628551	18	0	12	30
0310274281	34	0	16	50
0780619412	8	0	2	10
0767811100	15	1	4	20
0783221487	45	1	34	80
076400638X	14	0	6	20
0767839129	44	0	26	70
0783224079	26	0	14	40
0780627806	16	0	4	20
0767020308	62	2	26	90
0782006752	26	1	13	40
0767836324	10	0	10	20
0764005707	71	0	19	90
0780618548	13	1	6	20
0738920967	29	0	21	50
0767834739	26	0	14	40
0767817478	59	1	30	90
0773343032	6	0	4	10
0764007440	43	0	17	60
0783223358	28	0	12	40
0767081455	12	0	8	20
0780621573	12	1	7	20
0741100967	6	0	4	10
0764005383	9	0	1	10
0780618556	23	0	7	30
