	positive	neutral	negative	total
076780192X	1	269	0	270
0767821599	0	20	0	20
0782008380	0	40	0	40
0767726227	3	177	0	180
0780621832	0	10	0	10
0310263662	3	996	1	1000
0767809270	0	30	0	30
0307142469	0	50	0	50
0767851668	0	100	0	100
0767821556	0	30	0	30
0005019281	2	106	2	110
0767812778	0	10	0	10
0767849493	0	60	0	60
0767802624	0	20	0	20
0764006584	0	50	0	50
0767802470	0	290	0	290
0780619552	0	20	0	20
0767003357	0	50	0	50
0764003828	0	30	0	30
0307141985	0	10	0	10
0005119367	0	60	0	60
0764005693	0	90	0	90
0764001035	1	109	0	107
0767002652	2	298	0	300
0767817443	0	60	0	60
0783103107	0	10	0	10
0780619250	0	30	0	30
076780094X	1	59	0	60
078322544X	1	39	0	40
0307514161	2	98	0	100
0767801601	0	20	0	20
0780631234	0	10	0	10
0767026128	0	40	0	40
0764005553	1	49	0	50
0767087372	0	90	0	90
0767817656	0	20	0	20
0767827724	1	9	0	10
078062372X	0	10	0	10
0780020723	0	10	0	10
0767800311	0	20	0	20
0767832302	0	30	0	30
0780631153	1	78	1	80
0740318934	0	59	0	59
0738921475	0	40	0	40
0563412879	0	40	0	40
0767801962	0	90	0	90
0767736680	1	149	0	150
0767821955	0	20	0	20
0780022823	0	10	0	10
0767809262	0	20	0	20
0780656946	0	50	0	50
0780621964	0	60	0	60
0780614097	0	20	0	20
0780630858	0	60	0	60
0767818040	0	30	0	30
0738900370	1	9	0	10
0767010485	0	10	0	10
0783219695	1	9	0	10
0767812417	1	9	0	10
0767853636	0	50	0	50
076400557X	0	60	0	60
0767830520	0	20	0	20
0767800958	0	10	0	10
076780161X	1	108	1	110
0764002465	1	49	0	50
0767802683	0	40	0	40
0767014812	1	38	1	40
0780619951	0	40	0	40
0780628551	0	30	0	30
0310274281	1	49	0	50
0780619412	0	10	0	10
0767811100	0	20	0	20
0783221487	0	80	0	80
076400638X	1	19	0	20
0767839129	0	70	0	70
0783224079	1	39	0	40
0780627806	1	19	0	20
0767020308	0	90	0	90
0782006752	0	40	0	40
0767836324	0	20	0	20
0764005707	1	89	0	90
0780618548	0	20	0	20
0738920967	0	50	0	50
0767834739	0	40	0	40
0767817478	0	90	0	90
0773343032	0	10	0	10
0764007440	1	59	0	60
0783223358	1	39	0	40
0767081455	0	20	0	20
0780621573	0	20	0	20
0741100967	0	10	0	10
0764005383	0	10	0	10
0780618556	1	29	0	30
0767812131	0	10	0	10
0767802497	0	40	0	40
0767821807	0	10	0	10
0767020553	0	50	0	50
0738920525	0	40	0	40
0767821742	1	9	0	10
0764007211	0	50	0	50
0767827651	0	20	0	20
0767015533	0	20	0	20
0764005685	1	89	0	90
0780622537	0	10	0	10
0767836316	0	20	0	20
0767018672	0	20	0	20
0738919039	0	20	0	20
0783114664	0	20	0	20
0767023765	0	70	0	70
0738921467	0	10	0	10
0767834860	0	20	0	20
0738920762	0	20	0	20
0780608372	0	20	0	20
0780630890	0	70	0	70
0783219857	2	58	0	60
0782006787	0	10	0	10
0780022084	0	20	0	20
0780616561	0	10	0	10
078321958X	0	20	0	20
0767025075	0	10	0	10
0783221088	0	40	0	40
0767809335	0	10	0	10
0767800761	0	59	0	59
0718000315	0	40	0	40
0767803434	0	40	0	40
078311611X	0	20	0	20
0780622642	0	40	0	40
0780656172	0	70	0	70
0783115202	0	10	0	10
076400459X	0	30	0	30
0780622545	0	50	0	50
0767827775	0	10	0	10
0767809254	0	10	0	10
0767802519	0	20	0	20
0767833902	0	70	0	70
0783225539	0	10	0	10
0767826728	0	20	0	20
0767805267	0	10	0	10
0310285569	0	20	0	20
0764006770	1	59	0	60
0307142493	2	38	0	40
0780023080	0	20	0	20
0767819586	0	40	0	40
0782008372	1	49	0	50
0783215126	0	10	0	10
0782007015	0	10	0	10
076781956X	0	10	0	10
0767804929	1	19	0	20
0767817648	0	10	0	10
0780630904	0	20	0	20
0307593908	1	19	0	20
0767819438	0	30	0	30
0764004425	0	30	0	30
0764005537	0	20	0	20
078060959X	0	10	0	10
0780020685	0	20	0	20
0780020200	0	10	0	10
076784744X	0	10	0	10
0767805739	0	10	0	10
0767802659	2	48	0	50
0767817699	0	10	0	10
0780631528	0	20	0	20
0767831322	0	10	0	10
0764127861	0	20	0	20
0767811097	2	48	0	50
0767850661	0	10	0	10
0780020901	0	10	0	10
0767812174	0	10	0	10
0780612906	0	30	0	30
0767819462	0	20	0	20
0783211856	0	50	0	50
0780627024	0	10	0	10
0783112572	0	20	0	20
0767812743	0	10	0	10
0767836359	0	10	0	10
0767827007	1	9	0	10
0764001027	0	10	0	10
0780631641	0	20	0	20
0783117388	0	10	0	10
076400235X	0	30	0	30
076781777X	0	10	0	10
0780020634	0	10	0	10
0783221983	0	10	0	10
0783214243	0	20	0	20
0783210973	0	10	0	10
078201061X	0	10	0	10
0767026977	0	40	0	40
0783223218	0	40	0	40
076783822X	0	10	0	10
0767809246	1	9	0	10
0780629159	0	10	0	10
0767815335	1	19	0	20
0738920770	0	20	0	20
0767005880	0	10	0	10
078062369X	0	10	0	10
0307554066	0	30	0	30
0780618068	0	30	0	30
0780621948	0	10	0	10
0740319183	0	10	0	10
0767810864	0	10	0	10
0510539610	0	10	0	10
0773386777	0	10	0	10
0783222068	1	18	1	20
0767827791	0	10	0	10
0615115187	0	20	0	20
0767818105	0	10	0	10
0783115377	0	20	0	20
0767019954	0	30	0	30
0767808673	0	49	1	50
0767018907	0	20	0	20
0780627415	0	10	0	10
0767802802	0	10	0	10
0780620003	1	39	0	40
0767810880	1	19	0	20
0780022181	0	30	0	30
0767850246	1	19	0	20
0780626702	0	20	0	20
0783225199	0	10	0	10
0767812115	0	10	0	10
0764005316	1	19	0	20
0767815122	0	10	0	10
0783221312	0	10	0	10
0738920363	0	10	0	10
0767817710	0	10	0	10
0780627873	0	10	0	10
0780651359	0	10	0	10
0780625129	1	19	0	20
0780623134	0	20	0	20
0767827716	0	10	0	10
0764005022	0	30	0	30
0780021088	0	10	0	10
0780021940	0	10	0	10
0780626478	0	10	0	10
0783107986	0	10	0	10
0764006797	0	10	0	10
0767810856	0	10	0	10
0767028627	0	10	0	10
0780628799	0	20	0	20
0740328271	0	30	0	30
0767819594	0	30	0	30
0780023536	0	10	0	10
0783112750	0	10	0	10
0780618564	0	10	0	10
0767823931	0	10	0	10
0767824008	1	9	0	10
0780662911	0	10	0	10
0783222149	0	10	0	10
0780020731	0	20	0	20
0780622278	0	10	0	10
0767810872	0	10	0	10
0783219105	0	20	0	20
0782009123	0	10	0	10
0767000099	0	20	0	20
0767850262	0	10	0	10
0769720382	0	10	0	10
0767025784	0	10	0	10
0783114338	0	10	0	10
0738900672	0	20	0	20
0767819403	0	10	0	10
078322172X	0	10	0	10
0767817753	0	10	0	10
0783219458	0	10	0	10
0767821513	0	10	0	10
0780622375	0	10	0	10
076785117X	0	20	0	20
0767802454	0	20	0	20
0764000829	0	30	0	30
0615274641	0	20	0	20
0783222955	0	10	0	10
0783114729	0	10	0	10
0780625609	0	10	0	10
0780020618	0	10	0	10
0780613880	0	10	0	10
0767836286	0	20	0	20
0782007848	0	10	0	10
0783113943	0	10	0	10
0767847563	0	10	0	10
0767018702	0	10	0	10
0767817680	0	20	0	20
0767818059	0	10	0	10
0307142485	0	10	0	10
0767802616	0	10	0	10
0780023420	0	10	0	10
0783225261	0	10	0	10
0780623746	0	20	0	20
076780760X	0	10	0	10
0767026225	0	10	0	10
0783216084	0	20	0	20
0783222475	0	20	0	20
0780023110	0	10	0	10
0782008364	0	10	0	10
0767835948	0	10	0	10
0767818024	0	10	0	10
0782002064	0	10	0	10
078062565X	0	10	0	10
0782008348	1	19	0	20
0780625277	0	20	0	20
0767827740	1	9	0	10
0783201672	0	10	0	10
0780631684	0	40	0	40
0764009265	1	29	0	30
0780630106	0	10	0	10
0780022386	0	10	0	10
0783105533	0	10	0	10
0767804309	0	10	0	10
0767835069	0	10	0	10
0780630882	0	10	0	10
0780020847	0	10	0	10
0767821718	0	10	0	10
0767827902	0	10	0	10
0780621638	0	10	0	10
0783205945	0	10	0	10
0767806239	0	10	0	10
0780629450	0	10	0	10
0767813871	0	10	0	10
0767827694	1	9	0	10
0767802535	0	10	0	10
076782170X	0	10	0	10
0780020715	0	10	0	10
078062856X	0	10	0	10
0767819470	0	10	0	10
0767804252	0	10	0	10
0780627717	1	9	0	10
